Country Name,countryID,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35973.78051,,,,,,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.5176104,922.8294492,916.3344748,1011.595524,1065.619665,1210.479265,1247.066144,1482.098837,1581.600836,1660.739856,1873.153946,1913.160644,1933.399713,1926.357336,1944.117005,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840.200763,2811.287126,2591.326276,1932.804031,1978.438032,2162.917203,2380.132838,2541.712498,2670.62003,2721.155559,2781.25814,2870.036714,2620.889012,2715.943441,2985.598585,3516.402658,4222.663033,5128.361253,5743.110048,5718.694408,5775.864013,5911.254334,6109.136612,6400.673376,6581.620658,6635.24275,6454.13537,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.280344,1992.560528,1902.75128,2148.099954,2390.531021,2782.093734,3109.943347,2838.04492,3209.615372,3690.682981,4029.016971,4457.111638,4754.653697,5114.721695,5522.982134,5942.884009,6631.835687,7291.239751,8228.337106,8813.252003,9637.345368,10207.7647,10526.24122,10570.953,11259.2645,11282.79358,11540.02556,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6759.785391,6821.770961,7193.242012,7394.499977,7583.281922,7714.281908,8029.948443,8331.929947,8711.420256,8867.322262,9332.821929,9513.818805,9512.98457,9917.936525,10884.53085,11600.59066,12397.94102,12988.21959,13679.65902,13582.64215,14071.01489,14445.863,15113.64097,15548.2009,15902.75625,16302.36376,16726.72218,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71786.11283,70641.76566,70495.96053,69085.12599,71492.9296,74045.22987,75977.39342,79612.86777,76783.54247,76193.70048,81818.62052,80488.68974,79388.01098,82571.36099,85090.28275,82205.94527,81305.37481,74698.27438,68902.19905,59160.00185,56415.07405,58404.01559,60914.80308,64713.13121,67420.11699,70254.83157,72399.65347,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990.554045,8024.592354,9061.645587,9693.967279,10342.47624,10129.77779,10754.19842,11688.7464,12132.51039,11769.14997,11810.06136,11419.05887,10217.2731,11217.57193,12430.71372,13817.71407,15227.5125,16865.54476,17711.44179,16618.12085,18333.5437,19629.35185,19579.00648,20161.49683,19762.89261,20340.29242,19939.93077,
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.860926,2227.669456,1350.108251,1290.473115,1422.709776,1584.60047,1734.655302,1843.378545,2015.105575,2126.915169,2318.238073,2613.784567,3020.453987,3531.968643,4031.947204,4769.489004,5607.645869,6605.216696,7260.968756,6323.578336,6567.258582,7022.103943,7649.491409,7997.387128,8380.473242,8727.558325,8832.763435,
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10587.59341,11076.6797,11272.82532,11887.90244,12629.81895,12012.90695,12693.72321,13247.57454,13653.98211,14029.08709,14987.41103,14317.23852,14480.07994,15479.22181,16633.54441,18065.80503,20747.37559,22996.7058,23162.68576,20271.08635,18824.07315,18605.31675,19398.05948,19480.1026,20579.04482,21462.28694,22661.48854,
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17371.26114,17827.74921,18233.34072,19172.89277,20132.72092,20957.03537,22045.73606,23004.83484,24229.38043,25299.35977,26343.07133,27397.6614,28717.2892,29714.03848,31384.58209,32591.80935,34385.61541,36589.72504,37506.90682,40265.68963,39227.26854,41782.28494,42589.5008,45604.73398,46571.85698,46095.16556,46012.32845,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19452.46636,20585.15301,21259.90972,21700.71336,22607.7419,23658.77108,24523.88346,25412.3676,26652.83157,27606.48303,29375.4048,29739.94153,31178.69333,32106.466,33755.14293,35013.71404,37627.97092,39385.74227,41316.22518,40919.15058,42047.03268,44452.73275,46457.34578,47924.58104,48814.79955,49938.10629,50551.55318,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502.433989,5558.818413,4334.433664,3361.035497,2719.340227,2420.444864,2471.585879,2634.158631,2901.351672,3136.093893,3534.329148,3942.084882,4393.967199,4945.907916,5551.448842,7169.150431,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16180.88715,17171.76137,17573.50673,17782.02615,17256.62697,
